




Precinct                      Registered Voters             Ballots Cast                  Voter Turnout                 
Wauconda 337                  958                           36                            8                             0                             0                             44                            81                            12                            3                             0                             96                            69                            10                            3                             0                             82                            62                            12                            3                             0                             77                            299                           
Wauconda 338                  1079                          59                            7                             8                             1                             75                            95                            17                            14                            3                             129                           83                            8                             11                            3                             105                           73                            4                             14                            2                             93                            402                           
Wauconda 339                  1034                          46                            16                            7                             2                             71                            74                            23                            10                            1                             108                           81                            20                            10                            3                             114                           76                            16                            12                            3                             107                           400                           
Wauconda 340                  809                           4                             0                             2                             0                             6                             15                            0                             2                             0                             17                            12                            0                             0                             0                             12                            9                             0                             2                             0                             11                            46                            
Wauconda 341                  717                           23                            7                             8                             0                             38                            49                            9                             10                            2                             70                            50                            11                            8                             2                             71                            51                            11                            5                             2                             69                            248                           
Wauconda 342                  993                           16                            7                             5                             0                             28                            34                            12                            6                             0                             52                            25                            11                            3                             0                             39                            24                            8                             6                             0                             38                            157                           
Totals:                       12995                         474                           76                            65                            6                             621                           907                           132                           102                           12                            1153                          817                           107                           92                            15                            1031                          781                           93                            90                            11                            975                           3780                          

                                                                                            Wauconda Area Public Library Dist Trustee - Unexpired 2-Year Term (Vote For 1)
                                                            Sandra Deubel                                                                                                                                         
Precinct                      Registered Voters             Election Day                  Early Voting                  Vote By Mail (VBM)            Late Arriving VBM/Prov        Choice Total                  Total                         
Wauconda 328                  520                           16                            1                             6                             0                             23                            23                            
Wauconda 329                  1397                          172                           8                             14                            2                             196                           196                           
Wauconda 330                  1000                          96                            14                            14                            4                             128                           128                           
Wauconda 331                  556                           30                            2                             3                             1                             36                            36                            
Wauconda 332                  705                           52                            6                             2                             0                             60                            60                            
Wauconda 333                  735                           87                            6                             8                             1                             102                           102                           
Wauconda 334                  804                           90                            2                             5                             0                             97                            97                            
Wauconda 335                  812                           51                            4                             5                             0                             60                            60                            
Wauconda 336                  876                           104                           11                            9                             1                             125                           125                           
Wauconda 337                  958                           92                            10                            3                             0                             105                           105                           
Wauconda 338                  1079                          111                           10                            15                            3                             139                           139                           
Wauconda 339                  1034                          91                            29                            13                            3                             136                           136                           
Wauconda 340                  809                           16                            0                             2                             0                             18                            18                            
Wauconda 341                  717                           63                            12                            10                            2                             87                            87                            
Wauconda 342                  993                           37                            14                            6                             0                             57                            57                            
Totals:                       12995                         1108                          129                           115                           17                            1369                          1369                          

                                                                                                                                                                                                                                                                                                                             Zion-Benton Public Library District Trustee - Full 6-Year Term (Vote For 3)
                                                            Philip Jaeger                                                                                                                                         Wendy C. Driver                                                                                                                                       Amy Onan                                                                                                                                              Jacqueline Holmes                                                                                                                                     
Precinct                      Registered Voters             Election Day                  Early Voting                  Vote By Mail (VBM)            Late Arriving VBM/Prov        Choice Total                  Election Day                  Early Voting                  Vote By Mail (VBM)            Late Arriving VBM/Prov        Choice Total                  Election Day                  Early Voting                  Vote By Mail (VBM)            Late Arriving VBM/Prov        Choice Total                  Election Day                  Early Voting                  Vote By Mail (VBM)            Late Arriving VBM/Prov        Choice Total                  Total                         
Benton 51                     899                           50                            8                             7                             0                             65                            76                            10                            7                             0                             93                            63                            11                            6                             0                             80                            53                            8                             6                             0                             67                            305                           
Benton 52                     939                           80                            11                            5                             0                             96                            92                            20                            7                             0                             119                           94                            16                            7                             0                             117                           76                            13                            8                             0                             97                            429                           
Benton 53                     878                           71                            5                             5                             2                             83                            90                            6                             7                             2                             105                           83                            4                             5                             2                             94                            73                            6                             4                             0                             83                            365                           
Benton 54                     1073                          45                            5                             2                             2                             54                            46                            3                             4                             2                             55                            45                            6                             4                             0                             55                            42                            4                             3                             2                             51                            215                           
Benton 55                     862                           55                            1                             2                             0                             58                            66                            4                             2                             0                             72                            56                            2                             1                             0                             59                            52                            4                             1                             0                             57                            246                           
Benton 56                     907                           51                            7                             2                             0                             60                            65                            10                            3                             0                             78                            72                            8                             2                             0                             82                            42                            12                            2                             0                             56                            276                           
Benton 57                     853                           7                             4                             0                             0                             11                            11                            5                             1                             0                             17                            9                             5                             1                             0                             15                            12                            7                             1                             0                             20                            63                            
Benton 58                     1022                          10                            7                             5                             0                             22                            20                            7                             4                             0                             31                            14                            5                             7                             0                             26                            16                            6                             3                             0                             25                            104                           
Benton 59                     1215                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
Benton 60                     995                           22                            6                             7                             1                             36                            34                            9                             6                             1                             50                            16                            7                             6                             1                             30                            22                            6                             2                             0                             30                            146                           
Benton 61                     954                           10                            5                             4                             1                             20                            14                            5                             2                             1                             22                            13                            5                             5                             1                             24                            10                            1                             6                             0                             17                            83                            
Benton 62                     801                           11                            1                             2                             0                             14                            11                            1                             7                             0                             19                            7                             2                             7                             0                             16                            10                            0                             5                             0                             15                            64                            
Benton 63                     841                           6                             3                             1                             0                             10                            8                             2                             1                             0                             11                            9                             2                             2                             0                             13                            8                             3                             2                             0                             13                            47                            
Waukegan 346                  1036                          20                            3                             1                             0                             24                            25                            3                             3                             0                             31                            24                            0                             3                             0                             27                            18                            3                             3                             0                             24                            106                           
Zion 403                      1041                          42                            10                            2                             0                             54                            53                            21                            3                             0                             77                            39                            15                            4                             0                             58                            44                            12                            3                             0                             59                            248                           
Zion 404                      872                           33                            10                            5                             0                             48                            43                            14                            4                             0                             61                            37                            8                             8                             0                             53                            32                            7                             1                             0                             40                            202                           
Zion 405                      950                           25                            15                            3                             1                             44                            32                            18                            6                             0                             56                            21                            14                            8                             0                             43                            27                            15                            6                             0                             48                            191                           
Zion 406                      1059                          43                            25                            2                             1                             71                            56                            30                            9                             0                             95                            42                            24                            9                             1                             76                            42                            31                            4                             1                             78                            320                           
Zion 407                      874                           26                            12                            1                             0                             39                            33                            10                            2                             0                             45                            27                            10                            2                             0                             39                            34                            10                            2                             0                             46                            169                           
Zion 408                      976                           12                            15                            3                             1                             31                            23                            18                            4                             0                             45                            15                            20                            2                             1                             38                            25                            26                            3                             0                             54                            168                           
Zion 409                      1440                          38                            23                            2                             1                             64                            44                            24                            4                             1                             73                            39                            23                            4                             1                             67                            64                            34                            6                             0                             104                           308                           
Zion 410                      994                           40                            33                            4                             0                             77                            57                            40                            3                             0                             100                           51                            37                            5                             0                             93                            43                            21                            6                             0                             70                            340                           
Zion 411                      870                           36                            13                            2                             0                             51                            48                            18                            6                             0                             72                            43                            16                            5                             0                             64                            43                            13                            7                             0                             63                            250                           
Zion 412                      1164                          47                            31                            5                             0                             83                            63                            38                            10                            0                             111                           40                            35                            10                            0                             85                            39                            41                            4                             0                             84                            363                           
Zion 413                      797                           19                            16                            7                             0                             42                            31                            27                            5                             0                             63                            22                            18                            6                             0                             46                            27                            18                            4                             0                             49                            200                           
Zion 414                      991                           58                            40                            15                            1                             114                           73                            43                            13                            0                             129                           52                            33                            16                            0                             101                           41                            31                            15                            1                             88                            432                           
Zion 415                      1172                          41                            37                            5                             0                             83                            47                            37                            5                             0                             89                            39                            33                            6                             0                             78                            35                            30                            6                             0                             71                            321                           
Totals:                       26475                         898                           346                           99                            11                            1354                          1161                          423                           128                           7                             1719                          972                           359                           141                           7                             1479                          930                           362                           113                           4                             1409                          5961                          

                                                                                            Zion-Benton Public Library Dist Trustee - Unexpired 2-Year Term (Vote For 1)
                                                            Dale R. Ridder                                                                                                                                        
Precinct                      Registered Voters             Election Day                  Early Voting                  Vote By Mail (VBM)            Late Arriving VBM/Prov        Choice Total                  Total                         
Benton 51                     899                           96                            12                            10                            0                             118                           118                           
Benton 52                     939                           143                           19                            9                             0                             171                           171                           
Benton 53                     878                           140                           6                             6                             2                             154                           154                           
Benton 54                     1073                          75                            7                             6                             2                             90                            90                            
Benton 55                     862                           96                            4                             2                             0                             102                           102                           
Benton 56                     907                           90                            12                            3                             0                             105                           105                           
Benton 57                     853                           12                            10                            1                             0                             23                            23                            
Benton 58                     1022                          18                            10                            6                             1                             35                            35                            
Benton 59                     1215                          0                             0                             0                             0                             0                             0                             
Benton 60                     995                           36                            13                            7                             1                             57                            57                            
Benton 61                     954                           17                            6                             7                             1                             31                            31                            
Benton 62                     801                           16                            1                             7                             0                             24                            24                            
Benton 63                     841                           13                            3                             2                             0                             18                            18                            
Waukegan 346                  1036                          39                            2                             3                             1                             45                            45                            
Zion 403                      1041                          78                            26                            5                             0                             109                           109                           
Zion 404                      872                           69                            16                            8                             0                             93                            93                            
Zion 405                      950                           57                            26                            10                            1                             94                            94                            
Zion 406                      1059                          85                            44                            8                             1                             138                           138                           
Zion 407                      874                           52                            24                            3                             0                             79                            79                            
Zion 408                      976                           40                            32                            5                             1                             78                            78                            
Zion 409                      1440                          80                            36                            5                             1                             122                           122                           
Zion 410                      994                           78                            51                            10                            0                             139                           139                           
Zion 411                      870                           70                            33                            12                            0                             115                           115                           
Zion 412                      1164                          70                            59                            12                            0                             141                           141                           
Zion 413                      797                           47                            32                            6                             0                             85                            85                            
Zion 414                      991                           94                            59                            28                            1                             182                           182                           
Zion 415                      1172                          74                            57                            8                             0                             139                           139                           
Totals:                       26475                         1685                          600                           189                           13                            2487                          2487                          

                                                                                                                                                                                                                                                                                                                                                                                                        Barrington Community Unit School District #220 Members of the Board of Education (Vote For 3)
                                                            Joseph Ruffolo                                                                                                                                        Brian G. Battle                                                                                                                                       Alex Bernardi                                                                                                                                         Angela Wilcox                                                                                                                                         Michael Shackleton                                                                                                                                    
Precinct                      Registered Voters             Election Day                  Early Voting                  Vote By Mail (VBM)            Late Arriving VBM/Prov        Choice Total                  Election Day                  Early Voting                  Vote By Mail (VBM)            Late Arriving VBM/Prov        Choice Total                  Election Day                  Early Voting                  Vote By Mail (VBM)            Late Arriving VBM/Prov        Choice Total                  Election Day                  Early Voting                  Vote By Mail (VBM)            Late Arriving VBM/Prov        Choice Total                  Election Day                  Early Voting                  Vote By Mail (VBM)            Late Arriving VBM/Prov        Choice Total                  Total                         
Cuba 65                       919                           79                            21                            7                             1                             108                           75                            35                            8                             1                             119                           62                            21                            5                             1                             89                            75                            30                            9                             2                             116                           23                            17                            3                             1                             44                            476                           
Cuba 66                       865                           62                            8                             2                             2                             74                            68                            9                             6                             2                             85                            48                            10                            4                             1                             63                            68                            11                            5                             3                             87                            16                            6                             2                             1                             25                            334                           
Cuba 67                       662                           23                            6                             5                             0                             34                            30                            9                             4                             0                             43                            32                            5                             1                             0                             38                            28                            8                             3                             0                             39                            11                            4                             2                             0                             17                            171                           
Cuba 68                       785                           81                            20                            12                            0                             113                           73                            18                            9                             1                             101                           66                            10                            6                             0                             82                            92                            24                            11                            1                             128                           49                            15                            3                             1                             68                            492                           
Cuba 69                       983                           105                           40                            6                             0                             151                           85                            33                            10                            1                             129                           87                            34                            9                             0                             130                           106                           41                            13                            0                             160                           57                            22                            8                             0                             87                            657                           
Cuba 70                       721                           45                            9                             2                             0                             56                            38                            19                            1                             0                             58                            40                            11                            2                             0                             53                            33                            10                            5                             0                             48                            15                            3                             1                             0                             19                            234                           
